Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons,tau protein
CLEC4D,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
CLEC4G,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CLEC5A,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE
CLEC6A,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
CLEC7A,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CLSTN2,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
CLSTN3,TRUE,FALSE,TRUE,TRUE,TRUE,4,TRUE
CLTA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CNP,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
CNPY4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CNTN2,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
CNTNAP2,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
COL24A1,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
COL28A1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
COL9A1,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
COMMD9,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
COMT,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CPE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
CPVL,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
CRACR2A,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CRADD,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
CRH,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CRISP2,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
CRNN,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
CRTAM,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
CRYZL1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
CSF1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CSF2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CSF2RB,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CSF3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CSF3R,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CSNK1D,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE
CSRP3,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
CST5,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
CTF1,FALSE,TRUE,FALSE,TRUE,TRUE,3,TRUE
CTH,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CTRC,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
CTRL,TRUE,TRUE,FALSE,TRUE,FALSE,3,FALSE
CTSF,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
CTSH,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
CTSO,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
CTSV,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
CX3CL1,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
CXADR,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CXCL1,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE
CXCL10,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE
CXCL11,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE
CXCL12,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
CXCL17,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE
CXCL6,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
CXCL8,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE
CXCL9,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
CYB5R2,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
CYLD,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
DAPK2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DAPP1,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
DBN1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DCN,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
DCPS,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DCTN1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DCTN2,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
DCTN4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DDX21,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
DDX39A,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
DDX60,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE
DECR1,TRUE,FALSE,TRUE,TRUE,TRUE,4,TRUE
DEFB103A_DEFB103B,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
DENR,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
DFFA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DGKA,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
DHPS,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
DHX36,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
DKK4,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
DLG4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DNAJA4,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
DNAJB1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DNAJC6,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
DNM1,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE
DNM3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DNMBP,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
DNPEP,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DPEP1,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE
DPEP2,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
DPP10,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
DPP6,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DPY30,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
DRAXIN,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
DSG3,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
DTNB,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
DTX3,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
DTX3L,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
DUT,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
DYNC1H1,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
DYNC1I2,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
EBAG9,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
EBI3_IL27,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
ECE1,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
ECSIT,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
EDA2R,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
EDAR,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
EDNRB,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
EFHD2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
EFNA4,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
EGFLAM,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
EGLN1,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE
EHD4,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
EIF2S2,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
EIF4E,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
EIF4E2,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
ELOB,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
EML4,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
ENAH,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ENDOU,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
ENPP1,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
ENPP6,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ENTPD5,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
ENTPD6,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
EPB41L3,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
EPHA2,FALSE,TRUE,TRUE,TRUE,FALSE,3,TRUE
EPHB6,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
EPS8L2,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
ERBB4,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
EREG,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
ERF,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ERG,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
ERN1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
ERP44,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
ESR1,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
EVA1C,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
EVI5,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
EVL,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
EXOSC3,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
EZR,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE
F3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FAF2,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
FAM3B,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FAM3D,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
